id,WorkChallengesSelect
1,Company politics / Lack of management/financial support for a data science team
1,Privacy issues
1,Scaling data science solution up to full database
2,Company politics / Lack of management/financial support for a data science team
2,Data Science results not used by business decision makers
2,Did not instrument data useful for scientific analysis and decision-making
2,Difficulties in deployment/scoring
2,Dirty data
2,Explaining data science to others
2,Inability to integrate findings into organization's decision-making process
2,Lack of data science talent in the organization
2,Lack of funds to buy useful datasets from external sources
2,Lack of significant domain expert input
2,Limitations in the state of the art in machine learning
2,Limitations of tools
2,Maintaining responsible expectations about the potential impact of data science projects
2,Organization is small and cannot afford a data science team
2,Privacy issues
2,Scaling data science solution up to full database
2,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
2,The lack of a clear question to be answering or a clear direction to go in with the available data
2,Unavailability of/difficult access to data
3,Company politics / Lack of management/financial support for a data science team
3,Data Science results not used by business decision makers
3,Dirty data
3,The lack of a clear question to be answering or a clear direction to go in with the available data
3,Unavailability of/difficult access to data
4,Explaining data science to others
4,Other
5,Difficulties in deployment/scoring
5,Dirty data
5,Scaling data science solution up to full database
5,The lack of a clear question to be answering or a clear direction to go in with the available data
5,Unavailability of/difficult access to data
6,Dirty data
6,Lack of data science talent in the organization
6,Lack of significant domain expert input
6,Privacy issues
6,The lack of a clear question to be answering or a clear direction to go in with the available data
7,Did not instrument data useful for scientific analysis and decision-making
7,Dirty data
7,Lack of data science talent in the organization
7,Limitations in the state of the art in machine learning
8,Difficulties in deployment/scoring
8,Dirty data
8,Limitations in the state of the art in machine learning
8,Limitations of tools
8,Maintaining responsible expectations about the potential impact of data science projects
8,Need to coordinate with IT
8,Unavailability of/difficult access to data
9,NA
10,Company politics / Lack of management/financial support for a data science team
10,Dirty data
10,Lack of data science talent in the organization
10,Lack of funds to buy useful datasets from external sources
10,Organization is small and cannot afford a data science team
10,Unavailability of/difficult access to data
11,Explaining data science to others
11,Lack of data science talent in the organization
11,Privacy issues
12,I prefer not to say
13,Dirty data
13,Explaining data science to others
13,Limitations of tools
13,Maintaining responsible expectations about the potential impact of data science projects
13,The lack of a clear question to be answering or a clear direction to go in with the available data
14,Data Science results not used by business decision makers
14,Did not instrument data useful for scientific analysis and decision-making
14,Lack of data science talent in the organization
14,Scaling data science solution up to full database
15,Company politics / Lack of management/financial support for a data science team
15,Data Science results not used by business decision makers
15,Dirty data
15,Privacy issues
15,Unavailability of/difficult access to data
16,Data Science results not used by business decision makers
16,Explaining data science to others
16,Maintaining responsible expectations about the potential impact of data science projects
17,Lack of data science talent in the organization
17,Need to coordinate with IT
18,I prefer not to say
19,Company politics / Lack of management/financial support for a data science team
19,Did not instrument data useful for scientific analysis and decision-making
19,Dirty data
19,Maintaining responsible expectations about the potential impact of data science projects
19,Need to coordinate with IT
19,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
19,The lack of a clear question to be answering or a clear direction to go in with the available data
19,Unavailability of/difficult access to data
20,Company politics / Lack of management/financial support for a data science team
21,Dirty data
21,Limitations of tools
21,Need to coordinate with IT
22,Other
23,Data Science results not used by business decision makers
23,Lack of data science talent in the organization
24,Data Science results not used by business decision makers
24,Lack of data science talent in the organization
24,Limitations of tools
24,Privacy issues
25,Lack of data science talent in the organization
25,Lack of significant domain expert input
26,Company politics / Lack of management/financial support for a data science team
26,Data Science results not used by business decision makers
26,Difficulties in deployment/scoring
26,Dirty data
26,Explaining data science to others
26,Lack of data science talent in the organization
26,The lack of a clear question to be answering or a clear direction to go in with the available data
27,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
27,The lack of a clear question to be answering or a clear direction to go in with the available data
28,Company politics / Lack of management/financial support for a data science team
28,Data Science results not used by business decision makers
28,Explaining data science to others
28,Inability to integrate findings into organization's decision-making process
28,Maintaining responsible expectations about the potential impact of data science projects
28,Organization is small and cannot afford a data science team
28,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
29,Company politics / Lack of management/financial support for a data science team
29,Explaining data science to others
29,Lack of data science talent in the organization
29,Limitations in the state of the art in machine learning
29,Limitations of tools
29,Need to coordinate with IT
29,Scaling data science solution up to full database
30,Data Science results not used by business decision makers
30,Dirty data
30,Explaining data science to others
30,Lack of data science talent in the organization
30,Lack of significant domain expert input
30,Scaling data science solution up to full database
30,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
31,Company politics / Lack of management/financial support for a data science team
31,Difficulties in deployment/scoring
31,Lack of data science talent in the organization
31,Limitations in the state of the art in machine learning
31,Maintaining responsible expectations about the potential impact of data science projects
31,Need to coordinate with IT
31,Privacy issues
32,Company politics / Lack of management/financial support for a data science team
32,Dirty data
32,Need to coordinate with IT
32,The lack of a clear question to be answering or a clear direction to go in with the available data
33,Data Science results not used by business decision makers
33,Lack of funds to buy useful datasets from external sources
33,The lack of a clear question to be answering or a clear direction to go in with the available data
33,Unavailability of/difficult access to data
34,Company politics / Lack of management/financial support for a data science team
34,Data Science results not used by business decision makers
34,Difficulties in deployment/scoring
34,Dirty data
34,Explaining data science to others
34,Inability to integrate findings into organization's decision-making process
34,Lack of data science talent in the organization
34,Limitations in the state of the art in machine learning
34,Limitations of tools
34,Privacy issues
34,Team using multiple ad-hoc development environments such as Python/R/Java/etc.
