id,challenge,frequency
1,politics,Rarely
2,politics,Often
3,politics,Rarely
4,politics,NA
5,politics,NA
6,politics,NA
7,politics,NA
8,politics,NA
9,politics,NA
10,politics,Rarely
11,politics,NA
12,politics,NA
13,politics,NA
14,politics,NA
15,politics,Sometimes
16,politics,NA
17,politics,NA
18,politics,NA
19,politics,Sometimes
20,politics,Sometimes
21,politics,NA
22,politics,NA
23,politics,NA
24,politics,NA
25,politics,NA
26,politics,Often
27,politics,NA
28,politics,Often
29,politics,Most of the time
30,politics,NA
31,politics,Most of the time
32,politics,Sometimes
33,politics,NA
34,politics,Rarely
35,politics,NA
36,politics,NA
37,politics,NA
38,politics,NA
39,politics,NA
40,politics,Often
41,politics,NA
42,politics,Sometimes
43,politics,Sometimes
44,politics,Rarely
45,politics,NA
46,politics,Most of the time
47,politics,NA
48,politics,NA
49,politics,NA
50,politics,NA
51,politics,NA
52,politics,NA
53,politics,NA
54,politics,NA
55,politics,NA
56,politics,NA
57,politics,NA
58,politics,NA
59,politics,Often
60,politics,NA
61,politics,NA
62,politics,Often
63,politics,Most of the time
64,politics,Often
65,politics,NA
66,politics,NA
67,politics,Sometimes
68,politics,Often
69,politics,NA
70,politics,NA
71,politics,NA
72,politics,Sometimes
73,politics,Most of the time
74,politics,NA
75,politics,NA
76,politics,Sometimes
77,politics,NA
78,politics,NA
79,politics,Sometimes
80,politics,NA
81,politics,NA
82,politics,Most of the time
83,politics,NA
84,politics,Often
85,politics,NA
86,politics,NA
87,politics,NA
88,politics,Most of the time
89,politics,Sometimes
90,politics,Often
91,politics,NA
92,politics,Often
93,politics,NA
94,politics,NA
95,politics,NA
96,politics,NA
97,politics,NA
98,politics,Most of the time
99,politics,NA
100,politics,NA
101,politics,NA
102,politics,NA
103,politics,Sometimes
104,politics,NA
105,politics,Most of the time
106,politics,NA
107,politics,Often
108,politics,NA
109,politics,NA
110,politics,NA
111,politics,Often
112,politics,Most of the time
113,politics,NA
114,politics,Sometimes
115,politics,NA
116,politics,NA
117,politics,NA
118,politics,NA
119,politics,Often
120,politics,NA
121,politics,NA
122,politics,Often
123,politics,NA
124,politics,NA
125,politics,Most of the time
126,politics,NA
127,politics,Most of the time
128,politics,Most of the time
129,politics,NA
130,politics,NA
131,politics,Sometimes
132,politics,NA
133,politics,Most of the time
134,politics,NA
135,politics,Often
136,politics,NA
137,politics,NA
138,politics,Often
139,politics,NA
140,politics,Often
141,politics,NA
142,politics,Often
143,politics,NA
144,politics,NA
145,politics,NA
146,politics,NA
147,politics,Often
148,politics,NA
149,politics,NA
150,politics,NA
151,politics,NA
152,politics,NA
153,politics,Often
154,politics,Sometimes
155,politics,NA
156,politics,NA
157,politics,Most of the time
158,politics,Often
159,politics,NA
160,politics,NA
161,politics,NA
162,politics,NA
163,politics,Often
164,politics,NA
165,politics,NA
166,politics,NA
167,politics,Often
168,politics,Sometimes
169,politics,Most of the time
170,politics,NA
171,politics,Sometimes
172,politics,NA
