id,platform,usefulness
4,Arxiv,Somewhat useful
5,Arxiv,Very useful
7,Arxiv,Somewhat useful
8,Arxiv,Very useful
9,Arxiv,Somewhat useful
10,Arxiv,Very useful
14,Arxiv,Somewhat useful
18,Arxiv,Very useful
29,Arxiv,Very useful
30,Arxiv,Very useful
33,Arxiv,Very useful
38,Arxiv,Very useful
43,Arxiv,Somewhat useful
46,Arxiv,Very useful
48,Arxiv,Very useful
49,Arxiv,Somewhat useful
52,Arxiv,Very useful
61,Arxiv,Very useful
62,Arxiv,Very useful
64,Arxiv,Very useful
73,Arxiv,Very useful
78,Arxiv,Somewhat useful
85,Arxiv,Very useful
86,Arxiv,Very useful
90,Arxiv,Somewhat useful
97,Arxiv,Very useful
105,Arxiv,Somewhat useful
112,Arxiv,Somewhat useful
115,Arxiv,Somewhat useful
120,Arxiv,Somewhat useful
121,Arxiv,Very useful
126,Arxiv,Somewhat useful
132,Arxiv,Somewhat useful
134,Arxiv,Very useful
135,Arxiv,Very useful
136,Arxiv,Very useful
145,Arxiv,Somewhat useful
146,Arxiv,Very useful
154,Arxiv,Somewhat useful
155,Arxiv,Very useful
157,Arxiv,Very useful
158,Arxiv,Very useful
160,Arxiv,Very useful
161,Arxiv,Very useful
163,Arxiv,Somewhat useful
172,Arxiv,Very useful
180,Arxiv,Very useful
183,Arxiv,Very useful
185,Arxiv,Somewhat useful
188,Arxiv,Somewhat useful
189,Arxiv,Very useful
204,Arxiv,Very useful
206,Arxiv,Somewhat useful
207,Arxiv,Somewhat useful
210,Arxiv,Very useful
220,Arxiv,Very useful
221,Arxiv,Very useful
228,Arxiv,Very useful
229,Arxiv,Very useful
232,Arxiv,Very useful
234,Arxiv,Somewhat useful
235,Arxiv,Very useful
236,Arxiv,Very useful
237,Arxiv,Very useful
239,Arxiv,Very useful
241,Arxiv,Somewhat useful
243,Arxiv,Very useful
245,Arxiv,Very useful
256,Arxiv,Very useful
262,Arxiv,Very useful
270,Arxiv,Very useful
271,Arxiv,Somewhat useful
274,Arxiv,Very useful
279,Arxiv,Very useful
280,Arxiv,Very useful
281,Arxiv,Very useful
284,Arxiv,Very useful
285,Arxiv,Very useful
293,Arxiv,Very useful
296,Arxiv,Very useful
299,Arxiv,Very useful
305,Arxiv,Somewhat useful
306,Arxiv,Somewhat useful
309,Arxiv,Very useful
310,Arxiv,Very useful
312,Arxiv,Very useful
313,Arxiv,Somewhat useful
315,Arxiv,Very useful
317,Arxiv,Very useful
319,Arxiv,Somewhat useful
325,Arxiv,Very useful
328,Arxiv,Very useful
334,Arxiv,Somewhat useful
336,Arxiv,Somewhat useful
343,Arxiv,Somewhat useful
345,Arxiv,Very useful
346,Arxiv,Somewhat useful
347,Arxiv,Very useful
348,Arxiv,Very useful
350,Arxiv,Somewhat useful
356,Arxiv,Somewhat useful
357,Arxiv,Very useful
359,Arxiv,Very useful
361,Arxiv,Somewhat useful
362,Arxiv,Very useful
364,Arxiv,Somewhat useful
366,Arxiv,Very useful
367,Arxiv,Very useful
368,Arxiv,Very useful
376,Arxiv,Very useful
380,Arxiv,Somewhat useful
382,Arxiv,Very useful
386,Arxiv,Very useful
387,Arxiv,Very useful
388,Arxiv,Very useful
394,Arxiv,Somewhat useful
395,Arxiv,Somewhat useful
398,Arxiv,Very useful
399,Arxiv,Very useful
403,Arxiv,Very useful
404,Arxiv,Somewhat useful
413,Arxiv,Somewhat useful
419,Arxiv,Somewhat useful
421,Arxiv,Somewhat useful
423,Arxiv,Somewhat useful
427,Arxiv,Very useful
431,Arxiv,Very useful
436,Arxiv,Very useful
438,Arxiv,Somewhat useful
439,Arxiv,Somewhat useful
446,Arxiv,Somewhat useful
447,Arxiv,Somewhat useful
449,Arxiv,Very useful
460,Arxiv,Very useful
461,Arxiv,Very useful
466,Arxiv,Very useful
467,Arxiv,Somewhat useful
469,Arxiv,Somewhat useful
474,Arxiv,Very useful
476,Arxiv,Somewhat useful
479,Arxiv,Very useful
480,Arxiv,Somewhat useful
482,Arxiv,Somewhat useful
484,Arxiv,Somewhat useful
487,Arxiv,Very useful
499,Arxiv,Somewhat useful
502,Arxiv,Very useful
503,Arxiv,Very useful
505,Arxiv,Somewhat useful
509,Arxiv,Somewhat useful
511,Arxiv,Very useful
513,Arxiv,Somewhat useful
517,Arxiv,Somewhat useful
518,Arxiv,Somewhat useful
525,Arxiv,Somewhat useful
529,Arxiv,Very useful
531,Arxiv,Very useful
541,Arxiv,Somewhat useful
544,Arxiv,Very useful
551,Arxiv,Somewhat useful
558,Arxiv,Somewhat useful
562,Arxiv,Very useful
567,Arxiv,Somewhat useful
